m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
10007,100000,H_DIV,314159,11.2,89993,409090,2.515738740900728E-4,3.9036242899431956E-4,5.985401167906567,9.972797823825907,43163
10007,100000,H_MUL,137,11.6,89995,409763,2.7589672826173903E-4,4.257628610288823E-4,6.002719782417406,10.001760140811266,57560
10007,100000,H_MUL,271828,11.0,89993,409925,5.215895682086358E-4,8.146406928138562E-4,6.008979820403592,9.972239444788896,55683
10007,100000,H_MUL,314159,24.8,89993,410234,5.732045436365091E-4,8.663193055444435E-4,6.009159267258619,9.971217697415794,64701
10007,100000,H_FOLD,137,128.2,97282,2725503,0.0018129137668986483,0.003523214657172574,29.190724742020638,56.507700616049284,15019
10007,100000,H_FOLD,271828,155.4,97297,2710373,0.0018862214755704886,0.0036527466549330988,28.98962020759585,56.52211044220884,13356
10007,100000,H_FOLD,314159,122.2,97292,2718275,0.001545527957763379,0.0029983618689495162,29.12137029037677,56.40889271141691,13332
100003,1000,H_DIV,137,0.0,7,0,1.2512E-4,1.2276E-4,1.008,0.016,408204
100003,1000,H_DIV,271828,0.0,5,0,1.4368E-4,1.2564E-4,1.004,0.004,447076
100003,1000,H_DIV,314159,0.0,4,0,1.246E-4,1.0856E-4,1.006,0.002,488736
100003,1000,H_MUL,137,0.0,9,0,1.3928E-4,1.2896E-4,1.006,0.01,575256
100003,1000,H_MUL,271828,0.0,6,0,1.2508E-4,1.1392000000000001E-4,1.004,0.01,556506
100003,1000,H_MUL,314159,0.0,3,0,1.4036000000000002E-4,1.5096E-4,1.0,0.018,646617
100003,1000,H_FOLD,137,0.0,222,50,1.3031999999999999E-4,1.3619999999999998E-4,1.266,0.566,15019
100003,1000,H_FOLD,271828,0.0,239,64,3.5244E-4,1.4256E-4,1.328,0.634,13356
100003,1000,H_FOLD,314159,0.0,232,51,1.5192E-4,1.01E-4,1.268,0.554,13332
100003,10000,H_DIV,137,1.4,541,18,1.5723255348930215E-4,1.5153830766153232E-4,1.0583883223355328,0.09761952390478096,408204
100003,10000,H_DIV,271828,1.6,519,13,1.39256E-4,1.21712E-4,1.0546,0.1034,447076
100003,10000,H_DIV,314159,0.0,461,15,1.3952000000000002E-4,1.17028E-4,1.0492,0.0998,488736
100003,10000,H_MUL,137,0.0,493,11,1.5089782043591283E-4,1.303980796159232E-4,1.046990601879624,0.10182036407281456,575256
100003,10000,H_MUL,271828,0.0,475,23,1.5755199999999999E-4,1.34196E-4,1.0468,0.103,556506
100003,10000,H_MUL,314159,0.0,498,14,1.61244E-4,1.47508E-4,1.0482,0.0984,646617
100003,10000,H_FOLD,137,1.6,7809,20241,2.229114177164567E-4,2.523504700940188E-4,3.8220355928814236,5.635727145429086,15019
100003,10000,H_FOLD,271828,0.0,7809,20139,1.9494399999999998E-4,2.37096E-4,3.7596,5.7196,13356
100003,10000,H_FOLD,314159,0.0,7851,21028,2.7044E-4,2.71524E-4,3.8912,5.688,13332
100003,100000,H_DIV,137,9.4,36828,13218,3.000679945604352E-4,2.6252780222417796E-4,1.4986601071914247,0.9947395791663333,408204
100003,100000,H_DIV,271828,6.6,36858,13395,3.2056198876022476E-4,2.659445188903778E-4,1.504109917801644,1.006820136402728,447076
100003,100000,H_DIV,314159,9.8,36759,13173,3.0003279737620986E-4,2.5794983598687894E-4,1.5003399728021758,0.9990799263941116,488736
100003,100000,H_MUL,137,6.2,36915,13444,3.4086233101351894E-4,2.8840747259780786E-4,1.5046796256299495,1.002000160012801,575256
100003,100000,H_MUL,271828,14.6,36807,13348,3.2987340253194935E-4,2.8094361887237747E-4,1.503989920201596,0.997619952399048,556506
100003,100000,H_MUL,314159,6.2,36789,12884,2.947704183665307E-4,2.5029042323385873E-4,1.4977601791856652,0.996039683174654,646617
100003,100000,H_FOLD,137,132.0,97282,2725503,0.0018619702423806096,0.0035830094407552607,29.190724742020638,56.507700616049284,15019
100003,100000,H_FOLD,271828,118.4,97297,2710373,0.001884459910801784,0.003648987779755595,28.98962020759585,56.52211044220884,13356
100003,100000,H_FOLD,314159,134.6,97292,2718275,0.0019437477001839852,0.003777282982638611,29.12137029037677,56.40889271141691,13332
